log_id,api_name,reference_id,reference_type,company_code,request_timestamp,request_body,response_timestamp,response_body,error_message,status_code
339999,FaceMatching,6956,id,LI,2025-01-15 15:19:54.919,"{""mode"": ""doc_face"", ""reference_id_1"": ""5CB94CA10B62451ABCAAFBE708881469"", ""reference_id_2"": ""F5F0EAC959C44153BFAEC6AFAF7FC583""}",2025-01-15 15:19:54.919,{},Face not found in image,400
342346,FaceMatching,6573,id,LI,2025-01-15 20:42:00.588,"{""mode"": ""doc_face"", ""reference_id_1"": ""6B83FE92E86A4B56B5EFB9549549F1F5"", ""reference_id_2"": ""27692AA8113C4E478589DF23D692ED20""}",2025-01-15 20:42:00.588,"{""result"": {""score"": 26.854438966125272, ""face_matched"": false, ""face_detected"": true, ""insufficient_photo_resolution"": false, ""insufficient_document_resolution"": false}, ""message"": ""Success""}",,200
342438,FaceMatching,8750,id,LI,2025-01-15 20:56:44.900,"{""mode"": ""doc_face"", ""reference_id_1"": ""6B83FE92E86A4B56B5EFB9549549F1F5"", ""reference_id_2"": ""27692AA8113C4E478589DF23D692ED20""}",2025-01-15 20:56:44.900,"{""result"": {""score"": 26.854438966125272, ""face_matched"": false, ""face_detected"": true, ""insufficient_photo_resolution"": false, ""insufficient_document_resolution"": false}, ""message"": ""Success""}",,200
342595,FaceMatching,4776,id,LI,2025-01-15 21:35:31.436,"{""mode"": ""doc_face"", ""reference_id_1"": ""6B83FE92E86A4B56B5EFB9549549F1F5"", ""reference_id_2"": ""27692AA8113C4E478589DF23D692ED20""}",2025-01-15 21:35:31.436,"{""result"": {""score"": 26.854438966125272, ""face_matched"": false, ""face_detected"": true, ""insufficient_photo_resolution"": false, ""insufficient_document_resolution"": false}, ""message"": ""Success""}",,200
343942,FaceMatching,577,id,LI,2025-01-16 14:24:16.176,"{""mode"": ""doc_face"", ""reference_id_1"": ""5CB94CA10B62451ABCAAFBE708881469"", ""reference_id_2"": ""F5F0EAC959C44153BFAEC6AFAF7FC583""}",2025-01-16 14:24:16.176,{},Face not found in image,400
344067,FaceMatching,5087,id,LI,2025-01-16 14:43:13.847,"{""mode"": ""doc_face"", ""reference_id_1"": ""5CB94CA10B62451ABCAAFBE708881469"", ""reference_id_2"": ""F5F0EAC959C44153BFAEC6AFAF7FC583""}",2025-01-16 14:43:13.847,{},Face not found in image,400
344114,FaceMatching,553,id,LI,2025-01-16 14:53:52.578,"{""mode"": ""doc_face"", ""reference_id_1"": ""5CB94CA10B62451ABCAAFBE708881469"", ""reference_id_2"": ""F5F0EAC959C44153BFAEC6AFAF7FC583""}",2025-01-16 14:53:52.578,{},Face not found in image,400
344120,FaceMatching,8576,id,LI,2025-01-16 14:54:25.116,"{""mode"": ""doc_face"", ""reference_id_1"": ""5CB94CA10B62451ABCAAFBE708881469"", ""reference_id_2"": ""F5F0EAC959C44153BFAEC6AFAF7FC583""}",2025-01-16 14:54:25.116,{},Face not found in image,400
344132,FaceMatching,8374,id,LI,2025-01-16 14:56:48.713,"{""mode"": ""doc_face"", ""reference_id_1"": ""5CB94CA10B62451ABCAAFBE708881469"", ""reference_id_2"": ""F5F0EAC959C44153BFAEC6AFAF7FC583""}",2025-01-16 14:56:48.713,{},Face not found in image,400
344137,FaceMatching,2787,id,LI,2025-01-16 14:57:45.557,"{""mode"": ""doc_face"", ""reference_id_1"": ""5CB94CA10B62451ABCAAFBE708881469"", ""reference_id_2"": ""F5F0EAC959C44153BFAEC6AFAF7FC583""}",2025-01-16 14:57:45.557,{},Face not found in image,400
